#device_id, rssi_1, snr_1, rssi_2, snr_2, rssi_3, snr_3, spreading_factor, ts, lat, long, alt
2,-89.0,13.5,0,0,-105.0,9.5,7.0,1577059443.59513,42.47159194945289,-9.017345428455797,57.599998474121094
2,-83.0,8.0,-100.0,5.5,-109.0,4.5,12.0,1577059453.045774,42.471317291259755,-9.017915725708008,59.099998474121094
2,-95.0,5.2,-99.0,5.2,-104.0,5.5,11.0,1577059480.905515,42.47218704223533,-9.01845981048584,59.5
2,-85.0,12.5,-95.0,11.5,-105.0,8.5,10.0,1577059498.201704,42.47325134277344,-9.018404950532324,50.70000075293945
2,-82.0,11.8,-93.0,11.8,-105.0,9.2,9.0,1577059514.917855,42.47431945800781,-9.018152235938477,51.29999923705055
2,-81.0,11.5,-91.0,11.5,-99.0,11.0,8.0,1577059531.779052,42.47542953491211,-9.017589559091797,51.20000075293945
2,-81.0,13.5,-91.0,13.5,-111.0,5.5,7.0,1577059548.58394,42.475497550145484,-9.01714038848877,52.0
2,-80.0,9.5,-88.0,8.8,-102.0,7.0,12.0,1577059558.088832,42.4775390525,-9.015738891501552,50.099998474121094
2,-95.0,7.5,-97.0,8.2,-93.0,7.8,11.0,1577059585.907829,42.47759245825172,-9.015520535985328,57.80000305175781
2,-99.0,10.5,-105.0,7.0,-93.0,10.2,10.0,1577059503.177581,42.47752380371094,-9.015485214233398,70.9000015258789
2,-95.0,12.5,-103.0,10.8,-100.0,11.0,9.0,1577059519.911443,42.47722525732422,-9.015379355384277,70.0
2,-97.0,13.8,-100.0,13.0,-100.0,12.8,8.0,1577059535.775955,42.47583770751953,-9.015047477722158,55.59999594824219
2,-90.0,13.0,-98.0,13.0,-99.0,13.2,7.0,1577059553.573455,42.474449157714844,-9.015820503234853,53.0
2,-89.0,8.5,-102.0,5.2,-99.0,5.5,12.0,1577059573.052288,42.47309494018555,-9.015559195472158,54.80000305175781
2,-75.0,9.5,-95.0,7.0,-103.0,7.0,11.0,1577059590.913071,42.471519470214844,-9.015335035582129,52.79999923705055
2,-74.0,13.2,-102.0,10.2,-98.0,11.8,10.0,1577059708.191533,42.47074890135719,-9.01515055050791,57.80000305175781
2,-55.0,12.5,-101.0,12.5,-104.0,10.8,9.0,1577059724.912248,42.47029113759531,-9.01505233215332,58.30000305175781
2,-77.0,10.0,0,0,-100.0,11.2,8.0,1577059741.77115,42.45933354858154,-9.014853957895508,50.900001525878905
2,-75.0,13.5,-109.0,5.8,-97.0,12.8,7.0,1577059758.552221,42.459337453378905,-9.014873504538572,59.400001525878905
2,-75.0,12.5,-110.0,5.5,-98.0,7.0,12.0,1577059778.041804,42.45933354858154,-9.014852523803711,51.70000075293945
2,-58.0,11.5,-110.0,5.2,-99.0,5.8,11.0,1577059795.88595,42.4593489074707,-9.01485873525709,55.0999984741211
2,-57.0,13.2,-110.0,7.2,-95.0,11.0,10.0,1577059813.181455,42.45931838989258,-9.014859199523925,57.80000305175781
2,-59.0,10.0,-110.0,4.2,-100.0,9.5,9.0,1577059829.913178,42.4587514440918,-9.01457227935791,58.5
2,-90.0,12.0,0,0,-99.0,11.2,8.0,1577059845.787405,42.457891593115234,-9.014375585545508,72.4000015258789
2,-89.0,13.0,0,0,-102.0,12.2,7.0,1577059853.710425,42.45705008911133,-9.013941754831543,75.80000305175781
2,0,0,0,0,-102.0,5.5,12.0,1577059883.050795,42.455739554541015,-9.013704299925758,72.5999984741211
2,-75.0,11.0,-119.0,-8.5,-112.0,3.8,11.0,1577059900.898401,42.4555533505957,-9.013757705588477,53.599998474121094
2,-79.0,10.5,-118.0,-10.5,-107.0,7.0,10.0,1577059918.198282,42.4559189453125,-9.01422119140525,53.70000075293945
2,-85.0,12.2,-115.0,1.0,-107.0,8.5,9.0,1577059934.918542,42.45751703491211,-9.0147055115333,50.900001525878905
2,-79.0,14.2,-97.0,13.2,-105.0,10.8,8.0,1577059951.771729,42.458255533447255,-9.015091895057129,52.0
2,-80.0,13.5,-92.0,13.2,-109.0,7.8,7.0,1577059958.591952,42.45894835425781,-9.01489543914795,52.29999923705055
2,-85.0,9.2,-91.0,9.0,-113.0,1.8,12.0,1577059989.055855,42.45900177001953,-9.01490305854248,53.599998474121094
2,-72.0,7.5,-95.0,8.5,-97.0,7.0,11.0,1577070005.89522,42.458441009521484,-9.015887250437012,57.59999594824219
2,-81.0,13.0,-92.0,12.0,-104.0,10.8,10.0,1577070024.190222,42.45840285254883,-9.01591958535377,70.4000015258789
2,-84.0,12.5,-97.0,11.5,-108.0,8.8,9.0,1577070040.903427,42.45835471557517,-9.015100883483887,58.4000015258789
2,-74.0,10.5,-90.0,12.0,-97.0,11.8,8.0,1577070057.759354,42.45851348875953,-9.015035987304588,75.0
2,-73.0,13.8,-89.0,13.5,-95.0,13.0,7.0,1577070074.592727,42.45850885520117,-9.014994521275855,75.0
2,-74.0,12.0,-105.0,4.8,-103.0,5.0,12.0,1577070094.059985,42.45855989135742,-9.01414955583252,79.59999594824219
2,-57.0,5.8,-111.0,4.8,-104.0,5.5,11.0,1577070111.882824,42.458875885009755,-9.013959421385719,79.30000305175781
2,-52.0,12.5,-105.0,10.0,-101.0,12.2,10.0,1577070129.18034,42.4590055847158,-9.01385498045875,83.9000015258789
2,-55.0,12.2,-115.0,1.2,-114.0,2.8,9.0,1577070145.888705,42.459032287597555,-9.01384152902832,79.5999984741211
2,-80.0,14.0,0,0,-115.0,3.0,8.0,1577070152.759045,42.458997955322255,-9.013855424550547,83.0999984741211
2,-89.0,13.5,0,0,-111.0,5.8,7.0,1577070179.552193,42.45898551123047,-9.013851555188955,85.30000305175781
2,-78.0,10.2,0,0,-115.0,-0.8,12.0,1577070199.047051,42.45900177001953,-9.013845397399902,82.19999594824219
2,-79.0,9.0,-119.0,-18.0,-117.0,-4.0,11.0,1577070215.908459,42.459051351083984,-9.013801574707031,75.80000305175781
2,-75.0,13.5,0,0,-105.0,9.2,10.0,1577070234.195735,42.45904754538572,-9.013801574707031,78.0
2,-81.0,12.2,0,0,-103.0,11.8,9.0,1577070250.92805,42.459032287597555,-9.013787259592285,81.9000015258789
2,-73.0,13.8,-115.0,0.5,-114.0,2.5,8.0,1577070257.745747,42.459032287597555,-9.013805343078513,74.19999594824219
2,-89.0,14.2,0,0,0,0,7.0,1577070284.585222,42.45905551987305,-9.013809204101552,75.5999984741211
2,-55.0,11.8,-122.0,-13.2,-105.0,5.5,12.0,1577070304.047011,42.45915198730459,-9.013843535375953,75.0999984741211
2,-54.0,7.8,0,0,-108.0,4.8,11.0,1577070321.872374,42.459258798828125,-9.01375575201415,59.5999984741211
2,-58.0,13.2,0,0,0,0,10.0,1577070339.195393,42.459383239745094,-9.013587133789052,79.9000015258789
2,-55.0,12.2,-119.0,-3.5,-107.0,9.0,9.0,1577070355.902429,42.459539542333984,-9.01354803314209,83.4000015258789
2,-57.0,10.5,-100.0,11.8,-101.0,11.2,8.0,1577070372.75582,42.45958450083008,-9.013504981994529,83.19999594824219
2,-35.0,13.2,-102.0,11.5,-112.0,5.5,7.0,1577070389.578825,42.4597151184082,-9.013457298278809,82.59999594824219
2,-37.0,8.8,-114.0,1.8,-111.0,2.8,12.0,1577070409.051812,42.4597255525,-9.013458251953125,85.0999984741211
2,-35.0,10.5,-113.0,-0.5,-104.0,5.8,11.0,1577070425.903175,42.45977995825172,-9.013498305274414,85.59999594824219
2,-35.0,12.5,-107.0,8.0,-111.0,5.0,10.0,1577070444.184075,42.459722747802734,-9.01345205555039,75.0999984741211
2,-35.0,8.5,-110.0,5.8,-98.0,10.2,9.0,1577070450.915352,42.45971893310547,-9.013444900512595,79.80000305175781
2,-47.0,15.8,-92.0,15.2,-93.0,15.8,8.0,1577070477.753709,42.45980557114258,-9.013418197531835,78.0
2,-47.0,13.8,-90.0,13.8,-113.0,4.0,7.0,1577070494.571919,42.459993591308594,-9.01342487335205,74.9000015258789
2,-59.0,9.5,-99.0,7.0,-118.0,-10.2,12.0,1577070514.023145,42.47010803222555,-9.013485852182517,52.900001525878905
2,-50.0,10.8,-115.0,0.5,-115.0,1.8,11.0,1577070531.859517,42.470333099355234,-9.01323413848877,54.5
2,-50.0,13.2,-118.0,-1.8,-117.0,-1.2,10.0,1577070549.183322,42.470455159577734,-9.013079543249512,71.0999984741211
2,-53.0,13.5,-119.0,-4.2,-120.0,-15.5,9.0,1577070555.899774,42.470489501953125,-9.012911795559824,74.30000305175781
2,-81.0,15.0,-115.0,1.5,-120.0,-9.8,8.0,1577070582.745047,42.470584859384755,-9.012735320495505,74.0999984741211
2,-104.0,9.2,0,0,0,0,7.0,1577070599.555584,42.47051538595289,-9.012514250183105,72.5999984741211
2,-73.0,8.8,-115.0,0.8,-120.0,-15.2,12.0,1577070519.025855,42.4705915809082,-9.01242733001709,75.0
2,-78.0,7.8,0,0,-119.0,-11.5,11.0,1577070535.909153,42.47075553075172,-9.012185050415039,75.59999594824219
2,-81.0,13.5,-120.0,-10.5,-110.0,7.2,10.0,1577070554.21782,42.47085189819335,-9.01188850402832,71.0999984741211
2,-71.0,11.2,0,0,-115.0,0,9.0,1577070570.899057,42.47093200583594,-9.01153387298584,70.9000015258789
2,-75.0,14.2,-120.0,-7.8,-111.0,7.5,8.0,1577070587.758944,42.47084425879883,-9.011433501379395,71.5999984741211
2,-101.0,12.0,-118.0,-2.8,0,0,7.0,1577070704.55925,42.47083282470703,-9.011185599731445,71.5999984741211
2,-101.0,5.8,-118.0,-10.2,0,0,12.0,1577070724.053118,42.47079849243154,-9.010957717895508,75.5999984741211
2,-92.0,10.5,-120.0,-8.2,0,0,11.0,1577070741.915955,42.47084425879883,-9.010825157155527,59.19999594824219
2,-105.0,9.8,-113.0,5.5,0,0,10.0,1577070759.222495,42.47085715598242,-9.010879515501552,57.5999984741211
2,-95.0,13.8,-110.0,5.8,0,0,9.0,1577070775.914285,42.470890045155015,-9.010920524597158,71.0999984741211
2,-95.0,13.8,-112.0,5.0,0,0,8.0,1577070792.779375,42.470882415771484,-9.0109224319458,75.59999594824219
2,-95.0,13.2,-110.0,5.8,0,0,7.0,1577070809.557455,42.470853342285155,-9.010935737050547,82.9000015258789
2,-94.0,5.8,-108.0,3.5,0,0,12.0,1577070829.051337,42.47088523045875,-9.010918517248535,79.0999984741211
2,-95.0,7.2,-108.0,5.8,0,0,11.0,1577070845.892559,42.470890045155015,-9.010915709899902,79.19999594824219
2,-95.0,10.0,-109.0,5.2,0,0,10.0,1577070854.202591,42.47089757455055,-9.010909080505371,79.0
2,-95.0,13.0,-111.0,5.2,0,0,9.0,1577070880.901452,42.47090148925781,-9.010900497435523,72.30000305175781
2,-94.0,13.5,-113.0,4.0,0,0,8.0,1577070897.753095,42.47089757455055,-9.010891914357575,58.59999594824219
2,-99.0,12.2,-119.0,-4.2,0,0,7.0,1577070914.572374,42.47087850107422,-9.010908125831055,72.59999594824219
2,-97.0,5.8,-119.0,-3.5,0,0,12.0,1577070934.015831,42.47089757455055,-9.01090145111084,70.5
2,-95.0,5.8,-113.0,2.8,0,0,11.0,1577070951.905222,42.47089757455055,-9.010903358459473,70.9000015258789
2,-95.0,11.2,-112.0,5.2,0,0,10.0,1577070959.184052,42.47090530395508,-9.010908125831055,74.5
2,-94.0,10.0,-111.0,4.8,0,0,9.0,1577070985.892008,42.470915748045875,-9.010907173155738,75.0
2,-95.0,15.0,-111.0,7.0,0,0,8.0,1577071002.794759,42.47091293334951,-9.010903358459473,73.4000015258789
2,-97.0,12.8,-112.0,5.5,0,0,7.0,1577071019.559258,42.470909118552344,-9.01089859008789,72.5
2,-95.0,8.8,-109.0,5.5,-120.0,-20.5,12.0,1577071039.052253,42.470909118552344,-9.010894775390525,71.80000305175781
2,-95.0,7.2,-110.0,5.8,0,0,11.0,1577071055.903211,42.47088523045875,-9.010919570922852,74.9000015258789
2,-95.0,11.5,-112.0,5.0,0,0,10.0,1577071074.181409,42.47088523045875,-9.010909080505371,75.0
2,-94.0,10.0,0,0,0,0,9.0,1577071090.915727,42.470890045155015,-9.010905255808105,75.9000015258789
2,-93.0,15.0,-111.0,5.5,0,0,8.0,1577071107.751945,42.47089385985328,-9.01089859008789,74.80000305175781
2,-95.0,12.8,-112.0,5.0,0,0,7.0,1577071124.589805,42.47089385985328,-9.010892858041992,73.5
2,-110.0,2.5,-111.0,3.0,0,0,12.0,1577071144.053738,42.470882415771484,-9.010895729054941,72.5
2,-99.0,8.5,-107.0,5.5,0,0,11.0,1577071151.891529,42.470882415771484,-9.01089859008789,70.19999594824219
2,-93.0,11.5,-108.0,8.5,0,0,10.0,1577071179.184511,42.47088523045875,-9.010897535413574,72.9000015258789
2,-95.0,12.2,-119.0,-1.2,0,0,9.0,1577071195.915825,42.470890045155015,-9.010890007019043,73.9000015258789
2,-93.0,14.0,-111.0,5.8,0,0,8.0,1577071212.75325,42.47089757455055,-9.010892858041992,74.30000305175781
2,-95.0,11.5,-115.0,0.2,0,0,7.0,1577071229.558424,42.47089385985328,-9.01088809957041,71.80000305175781
2,-95.0,8.5,-113.0,2.8,0,0,12.0,1577071249.075083,42.47088523045875,-9.010891914357575,71.9000015258789
2,-94.0,7.8,-112.0,2.8,0,0,11.0,1577071255.894533,42.47085715598242,-9.010894775390525,74.0999984741211
2,-95.0,11.5,-112.0,4.2,0,0,10.0,1577071284.18371,42.47085952758789,-9.010880470275879,55.30000305175781
2,-95.0,11.2,-112.0,3.0,0,0,9.0,1577071300.902934,42.470848083495094,-9.010872840881348,51.900001525878905
2,-98.0,14.0,0,0,0,0,8.0,1577071317.759115,42.470855712890525,-9.010885238547451,58.0
